,University Name,Zip Code,Have CS Degree?,Undergrad Enrollement,Intro to AI/ML Class?,Intro to AI Course Description,Ethics in AI/ML Class?,Required for Major?,Ethics in AI Course Description,Theory Score,Theory Justification,Application Score,Application Justification,Ethics Score (Intro Course Description),Ethics (Intro) Justification,Ethics Course Breadth Score,Ethics Course Breadth Justification,Ethics Course Depth Score,Ethics Course Depth Justification
0,Boston College,2467,Yes,9654,Yes,"This course provides an introduction to computational mechanisms that improve their performance based on experience. Machine learning can be used in engineered systems for a wide variety of tasks in personalized information filtering, health care, security, games, computer vision, and human-computer interaction, and can provide computational models of information processing in biological and other complex systems. Supervised and unsupervised learning will be discussed, including sample applications, as well as specific learning paradigms such as decision trees, instance-based learning, neural networks and deep learning, Bayesian approaches, meta-learning, and clustering. General concepts to be described include feature space representations, inductive bias, overfitting, and fundamental tradeoffs.",Yes,Yes,"If you tried to live for one day without generating any data, how would you spend it? The use of data has proliferated and is pervasive. This timely, topical course examines key ethical questions of the Information Age. These issues pervade numerous, diverse aspects of the economy and society, from human rights to international trade. Students will learn about these topics, beginning first with acquaintance with the dominant ethical frameworks of the 20th and 21st centuries. They will then employ these frameworks to understand, analyze, and develop solutions for leading problems in the Information Age and their technological, social, economic, policy, and legal implications. Subjects include artificial intelligence (AI), big data, privacy, bias, accountability, mis/disinformation, human rights, hate speech, liberty, autonomy, international and global concerns, and emerging issues. You will come away with useful tools to understand and craft answers to some of the most pressing problems of our time.",2.5,"The description includes some theoretical concepts like inductive bias, overfitting, and tradeoffs, but much of the focus is on practical applications and specific ML techniques.",2.5,"Course 1 briefly mentions applications but primarily focuses on theoretical concepts and paradigms, leading to a limited-to-moderate application focus.",1.0,No mention of ethics in the course description. The focus is solely on machine learning techniques and applications.,5.0,"Course 1 provides a comprehensive overview of AI ethics, covering fairness, privacy, bias, accountability, global concerns, policy, and legal implications, making it very comprehensive.",4.5,"This course provides substantial depth, covering a broad range of ethical issues in AI and technology while integrating ethical frameworks, social, economic, and policy implications."
1,Boston University,2215,Yes,17744,Yes,"DS 340 covers the most important concepts and algorithms in AI and machine learning, ranging from search to deep neural networks, with an eye toward conceptual understanding and building a final project. Important topics include varieties of search (for lookahead), probabilistic reasoning, gradient descent applied to neural networks, applying regularization, reinforcement learning, the role of embeddings in natural language processing, and the role of attention in transformer architectures (eg, BERT and GPT4). Applications include image classification, sentiment analysis, game playing, and recommender systems, as well as a cursory introduction to generative AI. A background in Python programming is necessary, while multivariable calculus, linear algebra, and probability allow a deeper understanding of the material. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Quantitative Reasoning II, Critical Thinking.",Yes,Yes,"This course develops students' ability to critically examine and question the interplay between data science and computational technologies on the one hand, and society and public policy on the other. Students will complete exercises to demonstrate their facility with key ethics tools and techniques, and analyze a series of real-world case studies presented alongside ethical tools and analyses that are useful both for staying alert to emerging ethical challenges and responding to them as they arise in both employment settings and everyday life. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Social Inquiry II, Research and Information Literacy.",2.0,"While theory is mentioned in concepts like search, gradient descent, and probabilistic reasoning, the course is primarily application-driven with a final project focus.",3.5,"Course 2 includes both theoretical discussions and applications (image classification, sentiment analysis, game playing, etc.), but the inclusion of a final project suggests a substantial application component.",2.0,"The course covers AI/ML concepts and applications, with some indication that ethics might be included under 'Ethical Reasoning' in the BU Hub areas, though it is not a major focus.",3.0,"Course 2 discusses the intersection of technology, society, and policy and includes ethical reasoning exercises, but does not mention several key ethical dimensions such as AI bias, regulatory concerns, or environmental impacts.",3.5,"Moderate-to-substantial depth. The course includes ethics tools, techniques, and real-world cases but does not specify many AI-focused ethical issues in detail."
2,Emmanuel College,2115,Yes,1800,Yes,"This course provides an introduction to
Artificial Intelligence (AI), Deep Learning,
and Machine Learning (ML). A survey of
multiple AI techniques, focusing heavily on
ML. Students will learn about the different
concepts behind each technique, experiment
with interactive demonstrations, assess them
for equity and bias, and apply them in their
assignments. Techniques may be updated
as the fast-moving field of machine learning
evolves. This course does not go into extreme
depth on ML theory, instead focusing on how
to use these techniques to solve problems.
The goal of this course is for students to
understand what Machine Learning is and
is not, and have a “utility belt” of skills and
conceptual understanding to allow them to
identify a problem, choose an AI technique,
and apply it effectively",Yes,Yes,"Technology has and will continue to drive
human advancement, but with advancement
comes questions that have no easy answers:
What is an ethical algorithm, and how can
we create them? What does it mean to
“own” something in the digital space? Who
(if anyone) ought to be responsible for the
content users post on social media platforms?
Who (if anyone) has an obligation to ensure
that technology is used properly? What
might it mean to use emerging technologies,
such as DNA testing, “responsibly”? How
ought we to go about answering these and
other questions, particularly when there is
no obviously morally correct answer? In this
course, students will consider some of the
ethical dilemmas that individuals, businesses,
and policy-makers will face in the wake
of technological advancements. Students
can expect to use reasoning and logical
argumentation -the tools of philosophy -to
devise their own approach to answering
ethical questions about technology.",1.5,The course explicitly states that it does not go into extreme depth on ML theory and instead focuses on applications.,4.5,"Course 3 has a strong emphasis on applying ML techniques in assignments and problem-solving, indicating a high focus on application.",2.5,"Mentions assessing techniques for 'equity and bias,' suggesting some discussion of ethics, but the core focus remains on applying ML techniques.",3.5,"Course 3 raises valuable questions about technology ethics, including ethical AI, privacy, ownership, and content moderation, but lacks explicit discussion of fairness, accountability, or regulatory concerns.",3.5,Moderate depth. It raises key ethical questions related to technology but lacks an in-depth treatment of AI-specific ethics.
3,Fisher College,2116,Yes,1312,Yes,,No,No,,0.0,"Blank description, so it receives a score of 0.",0.0,"Course 4 is blank, so it scores a 0.",0.0,No course description provided.,0.0,"Course 4 is blank, so it receives a score of 0.",0.0,No description provided.
4,Harvard University,2138,Yes,7110,Yes,"Provides a probabilistic view on artificial intelligence and reasoning under uncertainty. Topics include: supervised learning, ensemble methods and boosting, neural networks, support vector machines, kernel methods, clustering and unsupervised learning, maximum likelihood, graphical models, hidden Markov models, inference methods, and computational learning theory. Students should feel comfortable with multivariate calculus, linear algebra, probability theory, and complexity theory. Students will be required to produce non-trivial programs in Python.",Yes,No,"Enabled by big data, Artificial Intelligence (""AI"") technology has become ubiquitous developing at breakneck speed, challenging our ability to reflect meaningfully as a society on its ethical implications and to build policy guardrails that ensure its ethical and responsible development and use. This seminar adopts a multidisciplinary approach, focusing on the ethical and regulatory environments in the United States (US) and the European Union (EU). It aims to equip students with a robust understanding of the ethical, legal, and societal impacts of big data, digital privacy, and AI broadly with a special focus on healthcare. By exploring various normative bioethics perspectives and rights-based frameworks, the course will delve into a wide range of topics through lectures, assigned readings, and class discussions. Students will engage with guest speakers to explore the complexities of big data, automated processing, AI technology, and their associated challenges primarily in the healthcare context. The curriculum will cover the historical context of digital privacy and AI, the US and EU policy strategies, the harms of AI, and the concept of ethical data spaces. It will also examine AI applications in healthcare, providing students with the tools to address the pressing ethical questions relevant to medicine and bioscience.",4.0,"This course places significant emphasis on theory, including probabilistic reasoning, graphical models, computational learning theory, and requirements for mathematical background.",2.0,"Course 5 primarily covers theoretical topics within probabilistic AI and only mentions programming as a requirement, not necessarily an application focus.",1.0,"No mention of ethics in the course description, as it focuses purely on probabilistic AI methods and mathematical foundations.",4.5,"Course 5 provides a strong multidisciplinary approach discussing the legal and societal impacts of AI, privacy, healthcare, ethical frameworks, and policy strategies, making it highly comprehensive but with a healthcare focus.",5.0,"Very in-depth. The course explores key AI ethics issues with a strong focus on legal, societal, and policy aspects, particularly in healthcare, incorporating regulatory perspectives and bioethical frameworks."
5,Massachusetts Institute of Technology,2139,Yes,4576,Yes,"Introduction to the principles and algorithms of machine learning from an optimization perspective. Topics include linear and non-linear models for supervised, unsupervised, and reinforcement learning, with a focus on gradient-based methods and neural-network architectures. Previous experience with algorithms may be helpful.",Yes,Yes,"Introduction to fundamentals of modern data-driven decision-making frameworks, such as causal inference and hypothesis testing in statistics as well as supervised and reinforcement learning in machine learning. Explores how these frameworks are being applied in various societal contexts, including criminal justice, healthcare, finance, and social media. Emphasis on pinpointing the non-obvious interactions, undesirable feedback loops, and unintended consequences that arise in such settings. Enables students to develop their own principled perspective on the interface of data-driven decision making and society. Students taking graduate version complete additional assignments.",3.5,"Takes an optimization-based approach to ML theory, covering core algorithms and learning models. While applications are possible, the fundamental focus is theoretical.",2.0,"Course 6 emphasizes algorithmic and optimization principles rather than application, earning a limited application score.",1.0,"No mention of ethics in the course description, focusing instead on optimization techniques for machine learning.",3.0,"Course 6 covers technical foundations and societal consequences of data-driven decision-making but does not fully engage with key ethical principles such as fairness, transparency, and legal concerns.",3.5,"Moderate-to-substantial depth. While it touches on unintended consequences and societal interactions in decision-making, it does not focus exclusively on AI ethics."
6,Northeastern University,2115,Yes,22427,Yes,"Introduces the fundamental problems, theories, and algorithms of the artificial intelligence field. Includes heuristic search; knowledge representation using predicate calculus; automated deduction and its applications; planning; and machine learning. Additional topics include game playing; uncertain reasoning and expert systems; natural language processing; logic for common-sense reasoning; ontologies; and multiagent systems.",Yes,Yes,"Studies philosophy of technology, as well as ethics and modern technology. Considers the relationship between technology and humanity, the social dimensions of technology, and ethical issues raised by emerging technologies. Discusses emerging technologies such as biotechnology, information technology, nanotechnology, and virtual reality.",4.0,"Explicitly emphasizes fundamental problems, theories, and algorithms of AI, touching on knowledge representation, deduction, planning, and reasoning.",1.0,Course 7 focuses on fundamental theories and algorithms in AI but does not indicate hands-on applications.,1.0,"No mention of ethics in the course description, as it emphasizes fundamental AI theories and algorithms.",3.5,"Course 7 takes a broad philosophical approach to technology and ethics, touching on emerging technologies but not clearly addressing regulatory, policy, or industry-specific considerations.",3.0,Moderate depth. Covers ethics in technology broadly but does not delve deeply into AI-specific ethical frameworks.
7,Simmons University,2115,Yes,1760,Yes,"This course introduces various approaches to Machine Learning, including supervised and unsupervised methods, classification, clustering, and association with emphasis on evaluation of appropriate methods. Students will explore the appropriate use and differences of various algorithms using SPSS or R.",Yes,No,"Does social media provide you with more freedom, or does it control you? How can we eliminate the sexist and racist aspects of gaming? What is the greatest threat to your privacy? Can hacking ever be morally good? Why are women the most common targets of cyber-harassment? Is file-sharing a form of theft? This course will explore current social, ethical, and legal issues associated with social media and digital technology.",2.0,The course does include discussion of methodologies but primarily focuses on applications and evaluation using tools such as SPSS and R.,3.0,"Course 8 explicitly mentions exploring algorithm applications using SPSS or R, suggesting a moderate application component.",1.0,"No mention of ethics in the course description, as it focuses on ML methods and their implementation.",3.0,"Course 8 discusses key ethical concerns in social media and digital environments, but it lacks comprehensive coverage of AI-specific issues such as algorithmic bias, governance, and legal frameworks.",3.0,Moderate depth. The course considers ethical concerns in social media and digital technology but does not extensively discuss AI ethics.
8,Suffolk University,2108,Yes,4414,Yes,"In today's rapidly evolving business landscape, artificial intelligence (AI) has emerged as a transformative force, revolutionizing industries and reshaping traditional business practices. This course aims to equip students with a comprehensive understanding of AI's principles, applications, and implications for businesses. Students will learn about the foundation of AI, including machine learning, NLP (Natural Language Processing), computer vision, reinforcement learning, and robotics through theoretical discussions, hands-on projects, and case studies. They will explore the interplay of AI technologies with business analytics, decision-making processes, and automation, enabling them to identify potential opportunities and challenges for businesses. By the end of this course, students will be well-versed in the fundamentals of AI and its practical applications in business contexts. They will develop critical thinking skills to evaluate AI's potential impact on organizations and society, enabling them to make informed decisions and contribute to the responsible deployment of intelligent technologies.",No,No,,2.0,"Though theoretical discussions are mentioned, the course primarily focuses on AI applications in business contexts.",4.0,"Course 9 highlights AI applications in business and hands-on projects, suggesting a strong emphasis on application.",2.0,"Briefly mentions evaluating AI’s impact on society and responsible deployment, but mostly emphasizes business applications.",0.0,"Course 9 is blank, so it receives a score of 0.",0.0,No description provided.
9,University of Massachusetts Boston,2125,Yes,12138,Yes,"An introduction to the main techniques of Artificial Intelligence: state-space search methods, semantic networks, theorem-proving and production rule systems. Important applications of these techniques are presented. Students are expected to write programs exemplifying some of techniques taught, using the LISP language.",Yes,No,"This course explores some of the ethical and societal issues that are raised by computing. Topics include privacy, freedom of expression, intellectual property, liability, the effect of computing on social interaction, and human-computer interface issues. Students write an analytical paper on an appropriate topic and also present their findings to the class.",3.0,"Covers fundamental AI techniques, but the emphasis appears to be on implementing and applying them rather than deeply exploring the underlying theory.",2.0,"Course 10 includes programming but primarily focuses on theoretical AI techniques, leading to a limited application score.",1.0,"No mention of ethics in the course description, as it focuses on AI techniques and their implementation in LISP.",3.0,"Course 10 touches on important ethical issues in computing, such as privacy and liability, but does not explicitly discuss AI ethics in depth.",3.0,Moderate depth. Covers ethical and societal issues raised by computing but lacks an in-depth discussion of AI ethics.
